query_id,query,gold_passage,hit_at_1,hit_at_5,mrr_score,ndcg_at_10,recall_at_10
11014,what is in allium root tip,4. Minimal mitotic activity in the root tip cells of Allium ceja is reached betw,1,1,1.0,1.0,1.0
14755,how did dale cregan lose his eye,WANTED: Dale Cregan. Fugitive Dale Cregan boasted to pals how he lost his eye af,1,1,1.0,1.0,1.0
13177,average cost of merry maids,"Read More. Merry Maids Inc offers employees an average of $10.40 per hour, and o",1,1,1.0,1.0,1.0
10982,how long do radio waves to get to venus from earth,"Radio waves travel at 186,282 miles per second. Divide the distance to Venus by ",1,1,1.0,1.0,1.0
10486,what nutrients does a teenager need,1 A proportion of teenagers (especially girls) have low intakes of some vitamins,1,1,1.0,1.0,1.0
13787,where is benidorm the programme filmed,Best Answer: The Hotel Sol Pelicanos/Ocas. The cabaret scenes in the so called N,1,1,1.0,1.0,1.0
18231,How is the due date for a pregnancy typically calculated? coursehero,"Once your pregnancy has been confirmed, what you most want to know is your due d",1,1,1.0,1.0,1.0
9889,definition epistle,The second epistle of Peter in the Bible. The second epistle of Peter in the Bib,1,1,1.0,1.0,1.0
10234,who invented the first computer invented,Who invented the first computer is not a question with a simple answer. There ha,1,1,1.0,1.0,1.0
10698,when should i start heartworm medication,All dogs should start on regular heartworm prevention medicine when they are pup,0,1,0.5,0.6309297535714575,1.0
12707,the cns is composed of,the central nervous system is composed of millions of nerve and glial cells toge,0,1,0.5,0.6309297535714575,1.0
12964,are peppers harmful,Spicy peppers burn going down but usually won't harm you. When you eat spicy foo,0,1,0.5,0.6309297535714575,1.0
16938,is suboxone an opiate,"Suboxone is a combination drug, which comprises an opioid drug, buprenorphine, a",1,1,1.0,1.0,1.0
10600,what is the primary somatosensory cortex responsible for,Processing primarily occurs in the primary somatosensory area in the parietal lo,1,1,1.0,1.0,1.0
11181,what hormones does the pituitary gland produce,The pituitary gland itself consists of a larger anterior lobe that makes the fol,1,1,1.0,1.0,1.0
14162,metastatic cancer lymph nodes symptoms,Metastasis is the spread of cancer cells to new areas of the body (often by way ,1,1,1.0,1.0,1.0
11186,how does a medical assistant become a registered nurse,The quickest way for a medical assistant to become a registered nurse is to comp,1,1,1.0,1.0,1.0
17268,what is a hoosier?,Definition of HOOSIER. : a native or resident of Indiana —used as a nickname. — ,1,1,1.0,1.0,1.0
13584,increased respiratory rate causes,Related Symptoms for Increased respiratory rate. Research the causes of these re,1,1,1.0,1.0,1.0
14791,what are the significance of Streptococcus pyogenes,Streptococcus pyogenes: A common bacteria that causes strep throat (streptococca,1,1,1.0,1.0,1.0
10196,what is codeine,Codeine is a member of the opioid family of drugs that is derived from the opium,1,1,1.0,1.0,1.0
12717,how long and what temp to cook ribs in oven,"Broil the ribs for about 5 minutes, until the sugar in the dry rub is bubbling a",1,1,1.0,1.0,1.0
15563,how long does it take to do an access course,It depends on your schedule and how much time you have to devote to the course. ,1,1,1.0,1.0,1.0
15146,broncos.schedule,Denver Broncos Schedule in 2015. The Denver Broncos are ready to hit the field a,1,1,1.0,1.0,1.0
18463,meaning of dna,Definition: DNA (deoxyribonucleic acid) is a type of macromolecule known as a nu,1,1,1.0,1.0,1.0
15084,average private school tuition in canada,"Studying in Canada is not free, but it is affordable. The average cost for a for",1,1,1.0,1.0,1.0
11466,who can notarize,"At a lawyers office, by a lawyer who is legally authorized to do notary work. Ma",1,1,1.0,1.0,1.0
15484,what causes infection around the heart,"Pericarditis is a disorder caused by inflammation of the pericardium, which is t",1,1,1.0,1.0,1.0
15417,are there different types of vertigo,Labyrinthitis. Labyrinthitis causes dizziness or a feeling that you are moving w,1,1,1.0,1.0,1.0
10266,what kind of spectrums are there,The visible spectrum is the part of the electromagnetic spectrum that can be see,1,1,1.0,1.0,1.0
14921,relationship between genes dna and chromosomes,The cell’s nucleus contains chromosomes chromosomes: Rod shaped bodies found in ,1,1,1.0,1.0,1.0
16950,what is genetic diversity within a species,Genetic diversity refers to the variety of genes within a species. Each species ,1,1,1.0,1.0,1.0
15044,average household electricity consumption ontario,"With the 3,000 kilowatt hour per month cap in place the Ontario Clean Energy Ben",1,1,1.0,1.0,1.0
13669,what age are ira rmds mandatory,Withdrawal Factor. Use this calculator to determine your Required Minimum Distri,1,1,1.0,1.0,1.0
19023,what is cramp,"For other uses, see Cramp (disambiguation) . A cramp is a sudden, and involuntar",1,1,1.0,1.0,1.0
11087,what is in LSD,LSD (lysergic acid diethylamide) is one of the major drugs making up the halluci,1,1,1.0,1.0,1.0
13836,how much sugar do you need in a day,The American Heart Association has specific limits for how much added sugar you ,1,1,1.0,1.0,1.0
16965,meaning of the name tyanna,Tyanna /tyan-na/ [3 sylls.] as a girls' name. The name Tyanna means follower of ,1,1,1.0,1.0,1.0
17957,what causes pressure on the groin in women,"A very common cause of groin pain is a groin pull, a strain of the inner thigh m",1,1,1.0,1.0,1.0
10017,how to get spin from a wedge shot,HOW TO GET MORE SPIN FROM YOUR WEDGES I recommend you get fit with a set of high,1,1,1.0,1.0,1.0
13691,how important was the issue of slavery in the constitution quizlet,"Three-fifths clause. the provision of the Constitution (Article I, Section 2) th",1,1,1.0,1.0,1.0
12339,meaning of the name ishbi-benob,The name Ishbi-benob is a Biblical baby name. In Biblical the meaning of the nam,1,1,1.0,1.0,1.0
15423,what Pokémon is a moth,Zoologist Arthur Anker's picture of a Venezuela poodle moth has captured the cur,1,1,1.0,1.0,1.0
15948,define temperature range science,The definition of temperature range is the dirrefernce between the highest and l,1,1,1.0,1.0,1.0
17950,what is an executive coach,"Like other forms of coaching, executive coaching is a collaborative relationship",1,1,1.0,1.0,1.0
10098,what is chain hotel,A chain hotel is a hotel that is one location of a series or group of hotels ope,1,1,1.0,1.0,1.0
12619,salary or wage for a medical office assistant,Salary Outlook. The BLS reports that the median wage for a medical assistant was,1,1,1.0,1.0,1.0
11214,where does lung cancer occur,1 Numerous studies have shown that lung cancer is more likely to occur in both s,1,1,1.0,1.0,1.0
12815,what seeds are poisonous to humans,Here's a look at the toxicity of apple seeds. Answer: Apple seeds do contain a s,1,1,1.0,1.0,1.0
13824,mila j sister,Mr. Steal Your Girl has settled down! Trey Songz is now dating R&B singer Mila J,1,1,1.0,1.0,1.0
17552,corporations law definition,Corporate Law Law & Legal Definition. Corporate law deals the formation and oper,1,1,1.0,1.0,1.0
19209,what is the meaning of herniated,Thoracic Herniated Disc Video. A herniated disc is a condition in which the annu,1,1,1.0,1.0,1.0
16592,how far is venus from the earth,venus is the nearest planet to earth in distance at about 41 million km 25 4 mil,1,1,1.0,1.0,1.0
14364,frequency modulation maximum deviation,"Parameter fm is the frequency of the modulating signal, δmax is the maximum devi",1,1,1.0,1.0,1.0
18618,who is the actress that plays beckett on castle,Stana Katic (/ˈstɑːnə ˈkaetɨk/ ; ˈkætɨk born 26 april) 1978 is A-Canadian americ,1,1,1.0,1.0,1.0
10274,what does a electric battery do,• ELECTRIC BATTERY (noun). The noun ELECTRIC BATTERY has 1 sense: 1. a device th,1,1,1.0,1.0,1.0
14964,where does the name tory come from,The word Tory derives from the Middle Irish word toraidhe; tóraidhe Modern irish,1,1,1.0,1.0,1.0
16101,fl driver license number meaning,Florida Driver’s License Number. Your Florida driver’s license number is based o,1,1,1.0,1.0,1.0
18086,what surgery do you do for blepharochalasis,Blepharoplasty refers to surgery to remove excess skin and fatty tissue around t,1,1,1.0,1.0,1.0
10911,what is intrauterine blood transfusion,Guide. An intrauterine transfusion provides blood to an Rh-positive fetus when f,0,1,0.5,0.6309297535714575,1.0
14568,taiga temperature and precipitation,Taiga's climate is classified as warm and temperate. Taiga has a significant amo,1,1,1.0,1.0,1.0
12200,allegory definition literature,"Definition of Allegory. An allegory is a work of art, such as a story or paintin",1,1,1.0,1.0,1.0
13842,why are syrian hamsters used in experiments?,The Syrian hamster (Mesocricetus auratus) is a widely used experimental animal m,1,1,1.0,1.0,1.0
15742,what is rattle breathing,"From Wikipedia, the free encyclopedia. A death rattle, known clinically as termi",1,1,1.0,1.0,1.0
11606,what is shellac nail polish is it made of beetle wings,Answer: Shellac is made from the secretions of the lac beetle and is not vegan b,1,1,1.0,1.0,1.0
10781,how much does a notary house call cost?,Typically a mobile notary goes to anywhere from one to eight places per day and ,1,1,1.0,1.0,1.0
10790,when was the first tv made,"John Logie Baird invented and introduced the first TV system in London, England ",1,1,1.0,1.0,1.0
18193,how much to pay for laundry services,"How much is it? 1  On average, expect to pay anywhere from $0.75 to $3 per pound",1,1,1.0,1.0,1.0
11582,how does the eighth amendment limit government power,The Eighth Amendment (Amendment VIII) to the United States Constitution is the p,1,1,1.0,1.0,1.0
19646,farm bureau claims telephone#,"At Farm Bureau Insurance®*, you're not just a policy or a number, you're a membe",1,1,1.0,1.0,1.0
15925,what are organic molecules digested by,The first task of the digestive system is to break down food into a fine pulp (m,1,1,1.0,1.0,1.0
19125,disease caused by bacteria pathogen,"Although most bacteria are harmless or often beneficial, several are pathogenic.",1,1,1.0,1.0,1.0
17711,characteristics of the earthquake fault lines,Characteristics of the San Andreas Fault Zone. The surface expression of the San,1,1,1.0,1.0,1.0
12445,autosomal recessive disorder definition,"Definition. Autosomal recessive is one of several ways that a trait, disorder, o",1,1,1.0,1.0,1.0
9826,cost to install a deck,"1 Composite deck installation can cost $25-$70 or more a square foot (8,000 -$22",1,1,1.0,1.0,1.0
15077,is wild celery edible,"HISTORY. Celery root is derived from wild celery, which has a small, edible root",1,1,1.0,1.0,1.0
17107,where is quahog,"Quahog (pronounced KO-hog) is a fictional city in Newport County, Rhode Island w",1,1,1.0,1.0,1.0
16425,what is the average distance a baseball can be thrown,1- It requires a certain amount of velocity to throw a ball 300 ft. Physics says,1,1,1.0,1.0,1.0
12092,what is chayote squash,"Chayote squash is an excellent source of dietary fiber. Chayote squash, or Sechi",1,1,1.0,1.0,1.0
19362,when was the first cell phone invented,Motorola was the first company to produce a handheld mobile phone. On 3 April 19,1,1,1.0,1.0,1.0
15691,does medicaid pay for dentures,"Medicaid for low-income families offers dental services based on state coverage,",1,1,1.0,1.0,1.0
13929,soil engineer cost,Cost of Soil Check After Excavation. To have a soils engineer come out to your s,1,1,1.0,1.0,1.0
10019,can grapes cause canker sores,Acidic Foods. Many fruits that are known for their health benefits can actually ,1,1,1.0,1.0,1.0
9754,how long are the longest axons in humans,"An axon (from Greek ἄξων axōn, áxōn), axis is a, long slender projection of a ne",0,1,0.3333333333333333,0.5,1.0
