question,domain,difficulty,hit_at_1,hit_at_5,mrr_score,ndcg_at_10,recall_at_10
In what year did London begin developing operational versions of the protocol on several hardware platforms?,computer_networks,factual,0,1,0.3333,0.5706,1.0
What is the relationship between a database and its associated applications?,database_systems,inferential,1,1,1.0,1.0,1.0
What is the name of the IBM operating system mentioned in the text as an example of a single address space operating system?,operating_systems,factual,1,1,1.0,1.0,1.0
What is the OSI reference model also known as?,computer_networks,factual,1,1,1.0,0.7904,1.0
What was the outcome of the OSI reference model?,computer_networks,factual,0,1,0.25,0.2641,0.5
What was the design principle of the network?,computer_networks,factual,0,1,0.2,0.3869,1.0
How did the adoption of TCP/IP in the US Department of Defense impact other countries?,computer_networks,inferential,1,1,1.0,1.0,1.0
What is the purpose of the 24 in the IP address 192.0.2.1/24?,computer_networks,factual,0,1,0.5,0.6309,1.0
What is the significance of the first 24 bits in the given IP address 192.0.2.1/24?,computer_networks,inferential,1,1,1.0,1.0,1.0
What layer of the OSI model does Ethernet provide services up to?,computer_networks,factual,0,0,0.0,0.0,0.0
Who released a paper on BSD Packet Filter (BPF) in 1992?,computer_networks,factual,1,1,1.0,1.0,1.0
How do network administrators use zones to enforce policies?,computer_networks,inferential,0,1,0.2,0.3869,1.0
What type of data is SQL particularly useful in handling?,database_systems,factual,0,1,0.5,0.6309,1.0
What would need to be set to null in order to record a newly hired faculty member who has not yet been assigned to teach any courses?,database_systems,factual,1,1,1.0,1.0,1.0
Who defined the Boyce–Codd normal form (BCNF) in 1974?,database_systems,factual,1,1,1.0,1.0,1.0
What is the relationship between achieving a higher level of database normalization and satisfying previous levels?,database_systems,inferential,0,0,0.1,0.2891,1.0
Why might some tables not be sufficiently normalized at the end of the process?,database_systems,inferential,1,1,1.0,1.0,1.0
"What would happen if you place {Author Nationality}, {Publisher Country}, and {Genre Name} in their own respective tables?",database_systems,inferential,1,1,1.0,1.0,1.0
What is the primary purpose of using indexes in a database table?,database_systems,factual,1,1,1.0,0.9197,1.0
What is a unique key in a document-oriented database used for?,database_systems,factual,0,1,0.5,0.6309,1.0
What is the name of the benchmark most commonly used for scalability comparisons?,database_systems,factual,1,1,1.0,1.0,1.0
What is the basis for plan selection in cost-based query optimizers?,database_systems,factual,1,1,1.0,1.0,1.0
Why does the order in which joins are performed matter for query execution time?,database_systems,factual,0,1,0.5,0.6309,1.0
How do database systems traditionally estimate selectivities of individual predicates?,database_systems,factual,0,1,0.5,0.6309,1.0
What is typically required for a network to be called a deep neural network?,machine_learning,factual,0,1,0.3333,0.3066,0.5
What are the primary benefits of virtual memory?,operating_systems,factual,1,1,1.0,1.0,1.0
What is the file system used in the Windows NT family of operating systems?,operating_systems,factual,1,1,1.0,1.0,1.0
What happens when someone requests a room and the current value of the semaphore is 0?,operating_systems,factual,1,1,1.0,1.0,1.0
How does gnulib handle memory overflow when using its equivalent interface to alloca?,operating_systems,factual,1,1,1.0,1.0,1.0
What is the name of the suite that includes TCP and IP?,computer_networks,factual,1,1,1.0,0.6131,0.5
When was IPv4 first introduced?,computer_networks,factual,0,1,0.5,0.6309,1.0
Why did IPv4 addresses become insufficient as the internet grew?,computer_networks,factual,0,1,0.5,0.6309,1.0
What is implied about computers not connected to the Internet in relation to the Domain Name System?,computer_networks,inferential,1,1,1.0,1.0,1.0
What year did the Internet Engineering Task Force publish the original DNS specifications?,computer_networks,factual,1,1,1.0,1.0,1.0
What types of physical layer connections may a router have interfaces for?,computer_networks,factual,1,1,1.0,1.0,1.0
What were the two main protocols used for Internet communication in the 20th and early 21st century?,computer_networks,factual,0,0,0.0,0.0,0.0
How can the term 'database' be used loosely?,database_systems,inferential,1,1,1.0,1.0,1.0
Who introduced the sixth normal form (6NF) in the year 2003?,database_systems,factual,1,1,1.0,1.0,1.0
What can be used to create an index in a database table?,database_systems,factual,1,1,1.0,1.0,1.0
When did the term 'NoSQL' emerge?,database_systems,factual,1,1,1.0,1.0,1.0
What type of data is well represented as a graph consisting of elements connected by a finite number of relations?,database_systems,factual,1,1,1.0,0.6131,0.5
What is the minimum number of operations involved in a typical banking transaction?,database_systems,factual,1,1,1.0,1.0,1.0
What is the purpose of keeping a separate journal of all modifications to a database management system?,database_systems,inferential,0,0,0.0,0.0,0.0
What type of AI system is being used by a YouTuber in the given scenario?,generative_ai,factual,0,1,0.5,0.6309,1.0
How does the agent's internal dialogue relate to how humans tackle difficult problems?,generative_ai,inferential,1,1,1.0,1.0,1.0
What is Gen AI compared to in terms of its function?,generative_ai,factual,1,1,1.0,1.0,1.0
In what year was a report given on using teaching strategies for an artificial neural network?,machine_learning,factual,0,0,0.1111,0.301,1.0
What is the goal of supervised learning?,machine_learning,factual,0,1,0.5,0.6309,1.0
How does the accuracy of the learned function depend on the input object?,machine_learning,factual,1,1,1.0,0.7904,1.0
What is the name of the problem that occurs when the number of features is too large?,machine_learning,factual,0,0,0.0,0.0,0.0
What is the term for a learning algorithm that is systematically incorrect when predicting the correct output for a particular input?,machine_learning,factual,0,1,0.2,0.4306,1.0
What techniques were introduced with the advent of supervision again?,machine_learning,factual,0,0,0.0,0.0,0.0
How do supervised methods differ from unsupervised methods in terms of learning rules?,machine_learning,inferential,0,0,0.0,0.0,0.0
What is the value of the inverse function if x > 2/3?,machine_learning,factual,1,1,1.0,1.0,1.0
What is the sum of the products of the weights and the inputs calculated at each node?,machine_learning,factual,0,1,0.3333,0.4911,1.0
What happens if you step in the direction of the gradient of a function?,machine_learning,factual,1,1,1.0,1.0,1.0
How do some implementations of user threads benefit from multi-processor machines?,operating_systems,factual,1,1,1.0,1.0,1.0
Why does the use of blocking system calls in user threads pose a problem?,operating_systems,inferential,1,1,1.0,1.0,1.0
What is a characteristic of the implementation of fibers compared to kernel or user threads?,operating_systems,factual,0,1,0.5,0.5714,1.0
How often does the short-term scheduler make scheduling decisions?,operating_systems,factual,1,1,1.0,1.0,1.0
What was the motivation behind Güntsch's system and the system mentioned in the text?,operating_systems,inferential,0,1,0.5,0.6309,1.0
What happens to a process when it executes wait and the semaphore's value is not negative?,operating_systems,factual,1,1,1.0,1.0,1.0
